bacteria,antibiotic,country,resistance_rate
Enterococcus faecium,Amoxicillin/Clavulanate,Benin,0.28328290538038947
Enterococcus faecium,Amoxicillin/Clavulanate,Burkina Faso,0.529516638765441
Enterococcus faecium,Amoxicillin/Clavulanate,Ivory Coast,0.6978603571488236
Enterococcus faecium,Amoxicillin/Clavulanate,Ghana,0.4751394753077597
Enterococcus faecium,Amoxicillin/Clavulanate,Mali,0.14056445832759562
Enterococcus faecium,Amoxicillin/Clavulanate,Nigeria,0.12836481656484955
Enterococcus faecium,Amoxicillin/Clavulanate,Senegal,0.4328055811693602
Enterococcus faecium,Amoxicillin/Clavulanate,Togo,0.8566743436101574
Enterococcus faecium,Ampicillin,Benin,0.32412767183798785
Enterococcus faecium,Ampicillin,Burkina Faso,0.4648127795992315
Enterococcus faecium,Ampicillin,Ivory Coast,0.6114148439827399
Enterococcus faecium,Ampicillin,Ghana,0.33347796293313847
Enterococcus faecium,Ampicillin,Mali,0.3138459494601127
Enterococcus faecium,Ampicillin,Nigeria,0.43067866634314367
Enterococcus faecium,Ampicillin,Senegal,0.5186107359106678
Enterococcus faecium,Ampicillin,Togo,0.6356298997213439
Enterococcus faecium,Ceftriaxone,Benin,0.21506023071628208
Enterococcus faecium,Ceftriaxone,Burkina Faso,0.240205507112094
Enterococcus faecium,Ceftriaxone,Ivory Coast,0.3512537951651663
Enterococcus faecium,Ceftriaxone,Ghana,0.33770635149061423
Enterococcus faecium,Ceftriaxone,Mali,0.622688577318578
Enterococcus faecium,Ceftriaxone,Nigeria,0.49138674406500626
Enterococcus faecium,Ceftriaxone,Senegal,0.1674532259389733
Enterococcus faecium,Ceftriaxone,Togo,0.3828009797924733
Enterococcus faecium,Ceftazidime,Benin,0.15210658297770002
Enterococcus faecium,Ceftazidime,Burkina Faso,0.5156043223266514
Enterococcus faecium,Ceftazidime,Ivory Coast,0.15512441801651156
Enterococcus faecium,Ceftazidime,Ghana,0.5166944714028842
Enterococcus faecium,Ceftazidime,Mali,0.21998435597461113
Enterococcus faecium,Ceftazidime,Nigeria,0.38288924036449956
Enterococcus faecium,Ceftazidime,Senegal,0.3711624604378193
Enterococcus faecium,Ceftazidime,Togo,0.8478605128672657
Enterococcus faecium,Cefotaxime,Benin,0.6210499310428595
Enterococcus faecium,Cefotaxime,Burkina Faso,0.7996494140158957
Enterococcus faecium,Cefotaxime,Ivory Coast,0.7618782666973039
Enterococcus faecium,Cefotaxime,Ghana,0.6718729880348955
Enterococcus faecium,Cefotaxime,Mali,0.7478761314000975
Enterococcus faecium,Cefotaxime,Nigeria,0.866888072665992
Enterococcus faecium,Cefotaxime,Senegal,0.6651183749899066
Enterococcus faecium,Cefotaxime,Togo,0.7903206533138594
Enterococcus faecium,Cefepime,Benin,0.4591922849992832
Enterococcus faecium,Cefepime,Burkina Faso,0.6218158927300701
Enterococcus faecium,Cefepime,Ivory Coast,0.8107260227105973
Enterococcus faecium,Cefepime,Ghana,0.685444152848184
Enterococcus faecium,Cefepime,Mali,0.6925746964056059
Enterococcus faecium,Cefepime,Nigeria,0.5944004500067536
Enterococcus faecium,Cefepime,Senegal,0.31680549027944616
Enterococcus faecium,Cefepime,Togo,0.10274446396712689
Enterococcus faecium,Imipenem,Benin,0.5751884777712288
Enterococcus faecium,Imipenem,Burkina Faso,0.5238708295601658
Enterococcus faecium,Imipenem,Ivory Coast,0.41744314004181715
Enterococcus faecium,Imipenem,Ghana,0.25150753319226216
Enterococcus faecium,Imipenem,Mali,0.7332632742029966
Enterococcus faecium,Imipenem,Nigeria,0.5924685229840594
Enterococcus faecium,Imipenem,Senegal,0.7345606302801267
Enterococcus faecium,Imipenem,Togo,0.14047596988372757
Enterococcus faecium,Meropenem,Benin,0.8395570633367168
Enterococcus faecium,Meropenem,Burkina Faso,0.7459718469739286
Enterococcus faecium,Meropenem,Ivory Coast,0.5368642616392222
Enterococcus faecium,Meropenem,Ghana,0.3552904403345848
Enterococcus faecium,Meropenem,Mali,0.7404406358118494
Enterococcus faecium,Meropenem,Nigeria,0.29895452420118396
Enterococcus faecium,Meropenem,Senegal,0.7750159611328349
Enterococcus faecium,Meropenem,Togo,0.3029112865586656
Enterococcus faecium,Ertapenem,Benin,0.41364271932026475
Enterococcus faecium,Ertapenem,Burkina Faso,0.2053748787036508
Enterococcus faecium,Ertapenem,Ivory Coast,0.16577005714538134
Enterococcus faecium,Ertapenem,Ghana,0.2712383798329595
Enterococcus faecium,Ertapenem,Mali,0.5060436508991518
Enterococcus faecium,Ertapenem,Nigeria,0.5684200885036049
Enterococcus faecium,Ertapenem,Senegal,0.32329192344874197
Enterococcus faecium,Ertapenem,Togo,0.3662155120611985
Enterococcus faecium,Ciprofloxacin,Benin,0.5187047502866692
Enterococcus faecium,Ciprofloxacin,Burkina Faso,0.5311914724568114
Enterococcus faecium,Ciprofloxacin,Ivory Coast,0.19690890048676632
Enterococcus faecium,Ciprofloxacin,Ghana,0.12197643319829235
Enterococcus faecium,Ciprofloxacin,Mali,0.17655733821714376
Enterococcus faecium,Ciprofloxacin,Nigeria,0.33313798982649556
Enterococcus faecium,Ciprofloxacin,Senegal,0.682670520559417
Enterococcus faecium,Ciprofloxacin,Togo,0.4070954286603947
Enterococcus faecium,Levofloxacin,Benin,0.6673158505655901
Enterococcus faecium,Levofloxacin,Burkina Faso,0.7417994686852343
Enterococcus faecium,Levofloxacin,Ivory Coast,0.8863179100085776
Enterococcus faecium,Levofloxacin,Ghana,0.33350411511374045
Enterococcus faecium,Levofloxacin,Mali,0.6906360733713064
Enterococcus faecium,Levofloxacin,Nigeria,0.34460744428464474
Enterococcus faecium,Levofloxacin,Senegal,0.10263566501758303
Enterococcus faecium,Levofloxacin,Togo,0.19379551822380733
Enterococcus faecium,Gentamicin,Benin,0.33434788218419886
Enterococcus faecium,Gentamicin,Burkina Faso,0.620306337968761
Enterococcus faecium,Gentamicin,Ivory Coast,0.4445904714246379
Enterococcus faecium,Gentamicin,Ghana,0.15428841505045698
Enterococcus faecium,Gentamicin,Mali,0.26234367553850896
Enterococcus faecium,Gentamicin,Nigeria,0.7521080336660072
Enterococcus faecium,Gentamicin,Senegal,0.3430603526037832
Enterococcus faecium,Gentamicin,Togo,0.3119999405488355
Enterococcus faecium,Amikacin,Benin,0.32734236423709784
Enterococcus faecium,Amikacin,Burkina Faso,0.2019571250585533
Enterococcus faecium,Amikacin,Ivory Coast,0.3982916034238635
Enterococcus faecium,Amikacin,Ghana,0.16015869718934328
Enterococcus faecium,Amikacin,Mali,0.32181274245975067
Enterococcus faecium,Amikacin,Nigeria,0.897360016996862
Enterococcus faecium,Amikacin,Senegal,0.1624804414230047
Enterococcus faecium,Amikacin,Togo,0.10477854522278758
Enterococcus faecium,Tobramycin,Benin,0.7045677261058184
Enterococcus faecium,Tobramycin,Burkina Faso,0.3982688162469684
Enterococcus faecium,Tobramycin,Ivory Coast,0.3379190328986258
Enterococcus faecium,Tobramycin,Ghana,0.4043065773062958
Enterococcus faecium,Tobramycin,Mali,0.44817243309701105
Enterococcus faecium,Tobramycin,Nigeria,0.7458446480950863
Enterococcus faecium,Tobramycin,Senegal,0.561540110440976
Enterococcus faecium,Tobramycin,Togo,0.38217156982471323
Enterococcus faecium,Trimethoprim/Sulfamethoxazole,Benin,0.8837967521100136
Enterococcus faecium,Trimethoprim/Sulfamethoxazole,Burkina Faso,0.7895659385191482
Enterococcus faecium,Trimethoprim/Sulfamethoxazole,Ivory Coast,0.7117154545321684
